This file is called 3209G.txt Revised December 19, 2014.
T32N R09W Chippewa County Geodetic Grid (feet) 
PointNo.  Northing(Y)    Easting(X)     Elev(Z)    Description
170       235858.54      159779.32      0.00       435
171       235878.01      154492.95      0.00       434
172       238506.12      157173.91      0.00       378
173       238518.61      154527.13      0.00       377
174       238529.27      159837.76      0.00       379
175       241160.31      154544.41      0.00       342
176       241107.24      159828.68      0.00       343
177       243713.18      159771.88      0.00       287
178       243644.80      162417.39      0.00       288
179       238622.10      136062.20      0.00       370
180       238599.87      138676.13      0.00       371
181       241240.20      138714.61      0.00       339
182       243878.43      138753.54      0.00       279
183       249128.42      136155.06      0.00       186
184       246500.55      136143.70      0.00       0
185       243859.96      136132.23      0.00       278
186       243100.57      157962.36      0.00       IP_1
187       243595.04      158035.29      0.00       IP_1
188       235997.53      149207.74      0.00       DS
189       237201.04      149224.02      0.00       DS
190       235925.65      149220.90      0.00       433
191       256655.60      165067.03      0.00       68
192       243817.61      151035.01      0.00       284
193       251714.49      149321.44      0.00       157
194       251686.89      149331.05      0.00       157TIE
195       251687.13      149288.18      0.00       157TIE
196       251739.93      149288.44      0.00       157TIE
197       251740.65      149329.93      0.00       157TIE
          
